quantidade,quantidade_promocao,Earliest Date,promocao_dummy1,promocao_dummy2,promocao_dummy3,zero_sales,previsao_continente,encomendado,difirenca_vendido_previsao
0,0,2017-01-01 00:00:00,0,0,0,1,0,0,0
12.021999836,0,2017-01-02 00:00:00,0,0,0,0,0,0,0
21.256000042,0,2017-01-03 00:00:00,0,0,0,0,0,0,0
18.2056999803,0,2017-01-04 00:00:00,0,0,0,0,0,0,0
23.8354998827,2.1925001144,2017-01-05 00:00:00,0,0,0,0,0,0,0
21.7860000134,0.7220000029,2017-01-06 00:00:00,0,0,0,0,0,0,0
50.6467000246,0,2017-01-07 00:00:00,0,0,0,0,0,0,0
25.0744999647,0.8619999886,2017-01-08 00:00:00,0,0,0,0,0,0,0
16.6759999394,11.6109999418,2017-01-09 00:00:00,0,1,1,0,0,0,0
11.706700027,7.6766999364,2017-01-10 00:00:00,0,1,1,0,0,0,0
2.5379999876,0.8140000105,2017-01-11 00:00:00,0,1,1,0,0,0,0
1.3460000157,0.7440000176,2017-01-12 00:00:00,0,1,1,0,0,0,0
15.9140000939,11.2540000677,2017-01-13 00:00:00,0,1,1,0,0,0,0
20.4219999909,14.25,2017-01-14 00:00:00,0,1,1,0,0,0,0
3.5299998522,0,2017-01-15 00:00:00,0,0,0,0,0,0,0
0,0,2017-01-16 00:00:00,0,0,0,1,0,0,0
41.2220000625,22.8979998827,2017-01-17 00:00:00,0,1,1,0,0,0,0
35.6259998679,16.3059999347,2017-01-18 00:00:00,0,0,1,0,0,0,0
26.5924999376,15.2124999166,2017-01-19 00:00:00,0,1,1,0,0,0,0
39.4038000703,16.8402000666,2017-01-20 00:00:00,0,0,1,0,0,0,0
71.2796006203,39.1993003488,2017-01-21 00:00:00,0,1,1,0,0,0,0
8.2560001016,5.6440000534,2017-01-22 00:00:00,0,1,1,0,0,0,0
0,0,2017-01-23 00:00:00,0,0,0,1,0,0,0
0,0,2017-01-24 00:00:00,0,0,0,1,0,0,0
0,0,2017-01-25 00:00:00,0,0,0,1,0,0,0
0,0,2017-01-26 00:00:00,0,0,0,1,0,0,0
6.4639999866,3.3680000305,2017-01-27 00:00:00,0,1,1,0,0,0,0
8.8700000048,1.9900000095,2017-01-28 00:00:00,0,0,1,0,0,0,0
1.3580000401,0,2017-01-29 00:00:00,0,0,1,0,0,0,0
6.95600003,0.6639999747,2017-01-30 00:00:00,0,0,0,0,0,0,0
0,0,2017-01-31 00:00:00,0,0,0,1,0,0,0
2.817999959,0,2017-02-01 00:00:00,0,0,1,0,0,0,0
7.8459999561,0,2017-02-02 00:00:00,0,0,0,0,0,0,0
25.1400001645,0,2017-02-03 00:00:00,0,0,0,0,0,0,0
33.5880000591,5.2139999866,2017-02-04 00:00:00,0,0,0,0,0,0,0
22.6580001712,1.2779999971,2017-02-05 00:00:00,0,0,0,0,0,0,0
8.5909000635,2.4880000353,2017-02-06 00:00:00,0,0,1,0,0,0,0
2.3799999952,1.8339999914,2017-02-07 00:00:00,1,1,1,0,0,0,0
0,0,2017-02-08 00:00:00,0,0,0,1,0,0,0
4.331700027,2.1180000305,2017-02-09 00:00:00,0,1,1,0,0,0,0
5.560000062,0,2017-02-10 00:00:00,0,0,0,0,0,0,0
15.1979998946,9.7679999471,2017-02-11 00:00:00,0,1,1,0,0,0,0
20.8979998827,12.9299999475,2017-02-12 00:00:00,0,1,1,0,0,0,0
7.1973999739,7.1973999739,2017-02-13 00:00:00,1,1,1,0,0,0,0
9.6059999466,5.9359999299,2017-02-14 00:00:00,0,1,1,0,0,0,0
6.584800005,3.8727999926,2017-02-15 00:00:00,0,1,1,0,0,0,0
23.5300001502,13.8320001364,2017-02-16 00:00:00,0,1,1,0,0,0,0
15.5084998012,9.1221998334,2017-02-17 00:00:00,0,1,1,0,0,0,0
61.3780001402,37.998000145,2017-02-18 00:00:00,0,1,1,0,0,0,0
28.5562998652,15.9780000448,2017-02-19 00:00:00,0,1,1,0,0,0,0
17.4273001552,1.9599999785,2017-02-20 00:00:00,0,0,0,0,0,0,0
15.2600001097,0,2017-02-21 00:00:00,0,0,0,0,0,0,0
8.8526998758,2.7546999454,2017-02-22 00:00:00,0,0,1,0,0,0,0
11.2400001287,0,2017-02-23 00:00:00,0,0,0,0,0,0,0
9.8196000457,0,2017-02-24 00:00:00,0,0,0,0,0,0,0
11.8759999275,1.3579999804,2017-02-25 00:00:00,0,0,0,0,0,0,0
36.5104997158,4.2740000486,2017-02-26 00:00:00,0,0,0,0,0,0,0
16.2919999957,1.2719999552,2017-02-27 00:00:00,0,0,0,0,0,0,0
16.0565000772,0.6679999828,2017-02-28 00:00:00,0,0,0,0,0,0,0
20.4660000801,2.6720000505,2017-03-01 00:00:00,0,0,0,0,0,0,0
15.0860000253,0,2017-03-02 00:00:00,0,0,0,0,0,0,0
41.7720000148,7.2300001383,2017-03-03 00:00:00,0,0,0,0,0,0,0
31.548199892,2.1039999723,2017-03-04 00:00:00,0,0,0,0,0,0,0
26.317999661,3.7339999676,2017-03-05 00:00:00,0,0,0,0,0,0,0
27.1200000048,22.8659999967,2017-03-06 00:00:00,1,1,1,0,0,0,0
26.7740002275,22.8900001645,2017-03-07 00:00:00,1,1,1,0,0,0,0
31.3383001089,17.9143000245,2017-03-08 00:00:00,0,1,1,0,0,0,0
30.5641998053,23.3719999194,2017-03-09 00:00:00,1,1,1,0,0,0,0
45.9300001264,34.3699999452,2017-03-10 00:00:00,1,1,1,0,0,0,0
17.545999825,18.3701997995,2017-03-11 00:00:00,1,1,1,0,0,0,0
6.9979999661,3.3939999938,2017-03-12 00:00:00,0,1,1,0,0,0,0
0.8280000091,0,2017-03-13 00:00:00,0,1,1,0,0,0,0
0,0,2017-03-14 00:00:00,0,0,0,1,0,0,0
2.8000000715,0,2017-03-15 00:00:00,0,0,1,0,0,0,0
3.1339998841,0,2017-03-16 00:00:00,0,0,0,0,0,0,0
1.9520000219,0,2017-03-17 00:00:00,0,0,1,0,0,0,0
14.1326999664,0,2017-03-18 00:00:00,0,0,0,0,0,0,0
2.7179999352,0,2017-03-19 00:00:00,0,0,1,0,0,0,0
3.8540000916,0,2017-03-20 00:00:00,0,0,0,0,0,0,0
21.8179998994,9.925999999,2017-03-21 00:00:00,0,0,1,0,0,0,0
27.4218998551,17.4318998456,2017-03-22 00:00:00,0,1,1,0,0,0,0
