quantidade,quantidade_promocao,Earliest Date,promocao
190.0210001171,0,2017-01-01 00:00:00,0
59.1457003951,0,2017-01-02 00:00:00,0
146.7260995805,0,2017-01-03 00:00:00,0
113.8176998198,1.3309999704,2017-01-04 00:00:00,0
143.4283998609,2.1925001144,2017-01-05 00:00:00,0
98.837000221,0.7220000029,2017-01-06 00:00:00,0
190.0210001171,0,2017-01-07 00:00:00,0
159.1912001967,2.5,2017-01-08 00:00:00,0
68.5695000887,42.2675000727,2017-01-09 00:00:00,1
85.4176999331,40.4416999519,2017-01-10 00:00:00,1
70.4406002916,35.5946003057,2017-01-11 00:00:00,1
42.9989997149,24.7429997921,2017-01-12 00:00:00,1
104.4790000916,57.1560000777,2017-01-13 00:00:00,1
141.4729999304,74.0879998505,2017-01-14 00:00:00,1
72.1259998083,39.2880000472,2017-01-15 00:00:00,1
31.4099995494,6.4759998918,2017-01-16 00:00:00,0
183.1419002712,67.8880002797,2017-01-17 00:00:00,1
131.8466005623,57.6276003718,2017-01-18 00:00:00,1
157.4944996855,69.1140000522,2017-01-19 00:00:00,1
232.8419009149,98.5942004919,2017-01-20 00:00:00,1
223.2081008516,98.1214001738,2017-01-21 00:00:00,1
141.4481001794,69.3980999887,2017-01-22 00:00:00,1
55.9313999931,51.7774000685,2017-01-23 00:00:00,1
135.0001997948,130.5881997943,2017-01-24 00:00:00,1
185.1325998902,172.7476000786,2017-01-25 00:00:00,1
149.1113997102,10.1523999572,2017-01-26 00:00:00,0
151.1173999608,11.2027000785,2017-01-27 00:00:00,0
281.7555005997,24.5251998305,2017-01-28 00:00:00,0
124.0780997276,2.067999959,2017-01-29 00:00:00,0
78.5582006574,4.4929999709,2017-01-30 00:00:00,0
118.2361994088,2.8799999952,2017-01-31 00:00:00,0
62.4417002222,4.95600003,2017-02-01 00:00:00,0
87.9075998068,0,2017-02-02 00:00:00,0
117.5010007918,9.9240001738,2017-02-03 00:00:00,0
172.897900342,18.8930001259,2017-02-04 00:00:00,0
130.1310004592,12.5501000583,2017-02-05 00:00:00,0
47.8450005248,10.230999887,2017-02-06 00:00:00,0
212.1515006721,96.4525002241,2017-02-07 00:00:00,1
123.5718995882,59.4580995739,2017-02-08 00:00:00,1
157.1592008471,90.3275004029,2017-02-09 00:00:00,1
207.3220002949,121.4890001416,2017-02-10 00:00:00,1
209.8107996285,119.4127999544,2017-02-11 00:00:00,1
134.0318997204,71.5418998003,2017-02-12 00:00:00,1
66.8076000512,39.7656000257,2017-02-13 00:00:00,1
56.1574997604,22.8535998762,2017-02-14 00:00:00,1
72.0788001716,33.345800221,2017-02-15 00:00:00,1
111.3320997357,47.5411002338,2017-02-16 00:00:00,1
134.1194997728,64.7731996775,2017-02-17 00:00:00,1
160.5650001466,83.0170000792,2017-02-18 00:00:00,1
153.4575003386,71.6592006087,2017-02-19 00:00:00,1
47.0203000307,5.0469999909,2017-02-20 00:00:00,0
150.6290006638,4.9179999828,2017-02-21 00:00:00,0
113.3068000525,23.1818003654,2017-02-22 00:00:00,0
129.6704001874,15.419400081,2017-02-23 00:00:00,0
169.807800591,18.3101003766,2017-02-24 00:00:00,0
255.0773997605,22.8359998167,2017-02-25 00:00:00,0
149.7704992592,14.0940000415,2017-02-26 00:00:00,0
130.5956993699,8.7079998851,2017-02-27 00:00:00,0
182.9111995697,14.5622000098,2017-02-28 00:00:00,0
163.4829002619,16.4519000351,2017-03-01 00:00:00,0
151.8200003207,5.942999959,2017-03-02 00:00:00,0
207.0520995557,24.4112001657,2017-03-03 00:00:00,0
195.4210994393,13.6000000536,2017-03-04 00:00:00,0
191.0845992863,11.1929998398,2017-03-05 00:00:00,0
93.5704000294,57.0809998214,2017-03-06 00:00:00,1
180.9614004791,115.7834002972,2017-03-07 00:00:00,1
150.373299852,74.2352998853,2017-03-08 00:00:00,1
154.0728999972,87.3136999905,2017-03-09 00:00:00,1
228.8790999055,158.7753999531,2017-03-10 00:00:00,1
190.5543999672,126.6645997465,2017-03-11 00:00:00,1
135.7859992981,85.3549995124,2017-03-12 00:00:00,1
72.9295999408,7.3555999994,2017-03-13 00:00:00,0
86.9810003936,8.1606001854,2017-03-14 00:00:00,0
101.437899828,9.5,2017-03-15 00:00:00,0
105.8324997425,12.3855000436,2017-03-16 00:00:00,0
159.8566996902,29.8880000114,2017-03-17 00:00:00,0
169.0210998207,16.8990001082,2017-03-18 00:00:00,0
178.8450002074,12.2109998465,2017-03-19 00:00:00,0
54.5179000497,26.7769000232,2017-03-20 00:00:00,1
184.0118001252,85.187299639,2017-03-21 00:00:00,1
155.3901000321,72.1858997345,2017-03-22 00:00:00,1
136.0087998211,56.5020999908,2017-03-23 00:00:00,1
163.0085001886,89.2641002238,2017-03-24 00:00:00,1
206.8687004745,145.7346999347,2017-03-25 00:00:00,1
153.4270002246,100.8340001106,2017-03-26 00:00:00,1
63.7544999421,13.3033002019,2017-03-27 00:00:00,0
120.0049998462,8.0705001354,2017-03-28 00:00:00,0
95.3752994239,7.0780000389,2017-03-29 00:00:00,0
92.9046001881,5.1620000601,2017-03-30 00:00:00,0
148.2093002498,18.7269997895,2017-03-31 00:00:00,0
194.9061000347,14.8624001145,2017-04-01 00:00:00,0
171.3833997846,19.2920000553,2017-04-02 00:00:00,0
39.726100117,1.324000001,2017-04-03 00:00:00,0
131.5989998281,3.3059999943,2017-04-04 00:00:00,0
115.5608002245,5.5270000994,2017-04-05 00:00:00,0
112.9336000383,6.1599999666,2017-04-06 00:00:00,0
198.7549004257,140.6459007561,2017-04-07 00:00:00,1
163.509099707,85.7900998592,2017-04-08 00:00:00,1
166.6451999694,87.342999801,2017-04-09 00:00:00,1
65.8360000253,35.3690001071,2017-04-10 00:00:00,1
174.992400974,101.712400645,2017-04-11 00:00:00,1
198.1041001678,81.3571003377,2017-04-12 00:00:00,1
286.5997997522,129.3948001266,2017-04-13 00:00:00,1
209.7896991968,73.7587000728,2017-04-14 00:00:00,1
185.060400039,86.0303997695,2017-04-15 00:00:00,1
53.0505999625,15.7666001022,2017-04-16 00:00:00,1
63.9174000025,19.1543998718,2017-04-17 00:00:00,1
