quantidade,promotion,date
323.2175003439,0,2017-01-01 00:00:00
108.4597001672,0,2017-01-02 00:00:00
240.8203999698,0.8000000119,2017-01-03 00:00:00
183.6443998814,3.5980000496,2017-01-04 00:00:00
228.3196000904,2.1925001144,2017-01-05 00:00:00
202.830000639,0.7220000029,2017-01-06 00:00:00
323.2175003439,0,2017-01-07 00:00:00
237.3401998281,2.5,2017-01-08 00:00:00
109.1492000222,66.7895000875,2017-01-09 00:00:00
230.1647002697,119.3246999979,2017-01-10 00:00:00
165.65460001,91.0856001235,2017-01-11 00:00:00
200.6631995738,88.4134995043,2017-01-12 00:00:00
228.0995999873,133.6956002414,2017-01-13 00:00:00
286.0550994575,149.806099534,2017-01-14 00:00:00
139.4759998024,71.6410000622,2017-01-15 00:00:00
44.6739993393,14.5799997747,2017-01-16 00:00:00
218.0328995883,84.4449997842,2017-01-17 00:00:00
159.9076008648,67.0936005116,2017-01-18 00:00:00
205.3074997833,89.9960001707,2017-01-19 00:00:00
292.7529011816,125.6172007322,2017-01-20 00:00:00
289.5531007908,125.4254001342,2017-01-21 00:00:00
222.4331002259,98.2435997128,2017-01-22 00:00:00
101.7255007843,88.4095005612,2017-01-23 00:00:00
236.2697995454,225.8667996079,2017-01-24 00:00:00
277.3685998619,255.4605995715,2017-01-25 00:00:00
265.2302995622,17.492299974,2017-01-26 00:00:00
383.4364001937,31.6957005858,2017-01-27 00:00:00
513.6757020205,40.3875000477,2017-01-28 00:00:00
282.8812985122,7.5760000348,2017-01-29 00:00:00
158.7684002519,8.5929999352,2017-01-30 00:00:00
248.030099988,6.7509999871,2017-01-31 00:00:00
201.8327002844,13.1259999871,2017-02-01 00:00:00
212.9382991195,3.4029999971,2017-02-02 00:00:00
214.2370012105,15.5030002296,2017-02-03 00:00:00
351.7381001492,34.0660001338,2017-02-04 00:00:00
260.374501735,15.1561001241,2017-02-05 00:00:00
104.6953008964,25.2239998579,2017-02-06 00:00:00
339.3818006516,156.2455003113,2017-02-07 00:00:00
205.8798983796,94.8640993237,2017-02-08 00:00:00
207.5269009471,121.1352003217,2017-02-09 00:00:00
284.9580005556,165.7900004387,2017-02-10 00:00:00
330.336099878,191.9240999967,2017-02-11 00:00:00
168.4309998453,93.536000073,2017-02-12 00:00:00
80.6438996494,47.0698997974,2017-02-13 00:00:00
180.7706001997,61.7037001848,2017-02-14 00:00:00
166.0878004432,64.9138004184,2017-02-15 00:00:00
213.5219993889,96.2549997866,2017-02-16 00:00:00
251.9165997468,131.066299703,2017-02-17 00:00:00
330.7458997378,153.7890000949,2017-02-18 00:00:00
250.9966001285,117.8032004237,2017-02-19 00:00:00
121.5192993283,7.1239999533,2017-02-20 00:00:00
175.3166004866,5.8779999614,2017-02-21 00:00:00
150.7758000493,28.4878004789,2017-02-22 00:00:00
160.728300035,15.8174000829,2017-02-23 00:00:00
226.446100533,24.0144003034,2017-02-24 00:00:00
313.0923994631,28.0799996555,2017-02-25 00:00:00
199.952599138,16.1460000277,2017-02-26 00:00:00
169.8542994857,11.1649999022,2017-02-27 00:00:00
266.1584994346,18.1454999447,2017-02-28 00:00:00
257.7473005354,24.083899945,2017-03-01 00:00:00
222.8810006082,13.671800077,2017-03-02 00:00:00
305.8761992534,41.4120002985,2017-03-03 00:00:00
321.1120991111,26.6389999092,2017-03-04 00:00:00
266.6965992451,13.7539998293,2017-03-05 00:00:00
134.5500998199,76.480999589,2017-03-06 00:00:00
308.0361003578,195.7830999792,2017-03-07 00:00:00
216.0963995755,118.9054993689,2017-03-08 00:00:00
244.0514998734,144.4327998459,2017-03-09 00:00:00
387.6222996116,260.456299752,2017-03-10 00:00:00
310.8116995841,204.8564998955,2017-03-11 00:00:00
237.4897983074,146.7287989855,2017-03-12 00:00:00
98.3136000335,14.4106000066,2017-03-13 00:00:00
183.7594002485,19.8824001551,2017-03-14 00:00:00
154.2238996923,10.2940000296,2017-03-15 00:00:00
198.4786995351,23.2544999421,2017-03-16 00:00:00
291.8806999475,44.4189998508,2017-03-17 00:00:00
327.7395998985,32.0540001392,2017-03-18 00:00:00
288.6787001193,20.6389997602,2017-03-19 00:00:00
92.185299933,42.850599736,2017-03-20 00:00:00
267.8954993635,106.3272998184,2017-03-21 00:00:00
224.7271001339,101.6518998146,2017-03-22 00:00:00
193.5148995221,83.2090998292,2017-03-23 00:00:00
235.0946002305,129.6151004136,2017-03-24 00:00:00
290.8808999956,202.4378996491,2017-03-25 00:00:00
217.8460003436,145.6259999871,2017-03-26 00:00:00
91.266299814,16.1701002121,2017-03-27 00:00:00
215.7635001391,16.1483998895,2017-03-28 00:00:00
157.0875996351,13.3279999197,2017-03-29 00:00:00
163.2666002512,9.2200000286,2017-03-30 00:00:00
221.0627000928,25.3399998248,2017-03-31 00:00:00
359.8964002132,31.4334001541,2017-04-01 00:00:00
256.4893998206,27.8240001798,2017-04-02 00:00:00
65.8021005094,1.324000001,2017-04-03 00:00:00
209.2069996744,3.3059999943,2017-04-04 00:00:00
165.7318003178,7.7310001552,2017-04-05 00:00:00
173.1959993541,9.8249999285,2017-04-06 00:00:00
296.1059004962,202.5919008553,2017-04-07 00:00:00
286.4798002988,139.5297999084,2017-04-08 00:00:00
295.0611988157,187.0209987313,2017-04-09 00:00:00
136.460999608,58.5370000005,2017-04-10 00:00:00
236.3582009375,142.3792006075,2017-04-11 00:00:00
219.4801002294,92.0901003182,2017-04-12 00:00:00
353.4575997286,154.0845999711,2017-04-13 00:00:00
269.3846990466,85.700699985,2017-04-14 00:00:00
246.586400032,100.2103997469,2017-04-15 00:00:00
67.4808000028,19.7578001916,2017-04-16 00:00:00
124.2104007602,26.2883998752,2017-04-17 00:00:00
165.6218998879,67.3458995521,2017-04-18 00:00:00
162.783000052,53.4370000064,2017-04-19 00:00:00
156.5882996172,72.8542995751,2017-04-20 00:00:00
261.3004999906,118.8656002134,2017-04-21 00:00:00
303.1878000796,141.0530999303,2017-04-22 00:00:00
246.1499999315,101.7534000129,2017-04-23 00:00:00
123.8395005763,116.2355004549,2017-04-24 00:00:00
271.2372008413,252.5468005389,2017-04-25 00:00:00
89.1870999634,14.7340001464,2017-04-26 00:00:00
63.1027000397,6.337700069,2017-04-27 00:00:00
115.9419996291,6.0850000381,2017-04-28 00:00:00
207.0690003783,13.5010000467,2017-04-29 00:00:00
450.2502009273,57.6770004034,2017-04-30 00:00:00
213.8909003735,24.4860002398,2017-05-01 00:00:00
93.5969002247,9.5144998729,2017-05-02 00:00:00
160.1099996418,13.2700001001,2017-05-03 00:00:00
165.3958999217,12.5941002071,2017-05-04 00:00:00
179.9284005314,16.5334999561,2017-05-05 00:00:00
254.580001235,25.3220003545,2017-05-06 00:00:00
190.2844003737,17.8280001879,2017-05-07 00:00:00
124.1018000841,69.6329999566,2017-05-08 00:00:00
193.7676994056,82.3971996903,2017-05-09 00:00:00
179.3259995729,86.5339991748,2017-05-10 00:00:00
170.733500123,99.3278001994,2017-05-11 00:00:00
232.9206997752,138.2586999238,2017-05-12 00:00:00
314.6952011287,177.66720061,2017-05-13 00:00:00
208.7098002434,108.8485004753,2017-05-14 00:00:00
101.6762000769,46.5013000965,2017-05-15 00:00:00
253.6264998615,94.3655000031,2017-05-16 00:00:00
217.1310001016,74.3599997908,2017-05-17 00:00:00
250.9072996378,106.5247994959,2017-05-18 00:00:00
266.0467988849,132.7615994811,2017-05-19 00:00:00
338.0769995749,156.3959994614,2017-05-20 00:00:00
204.3449993283,82.0259992182,2017-05-21 00:00:00
126.8401003331,15.8574998379,2017-05-22 00:00:00
155.2310994864,12.045999974,2017-05-23 00:00:00
169.2195006013,11.6009998322,2017-05-24 00:00:00
166.1644996405,13.599999845,2017-05-25 00:00:00
188.8779003769,11.038000077,2017-05-26 00:00:00
232.4252996743,21.7130000889,2017-05-27 00:00:00
190.3638003767,24.6029998958,2017-05-28 00:00:00
83.4155998975,9.9550000429,2017-05-29 00:00:00
171.6587998793,13.2989999652,2017-05-30 00:00:00
139.5049009025,9.2200000882,2017-05-31 00:00:00
153.0796001703,7.3779999614,2017-06-01 00:00:00
243.9109995067,18.1900000274,2017-06-02 00:00:00
264.2435002625,31.5020000637,2017-06-03 00:00:00
168.902300626,4.3703001142,2017-06-04 00:00:00
144.0439997315,73.079000324,2017-06-05 00:00:00
176.1312001944,87.4522996843,2017-06-06 00:00:00
136.9139999151,61.8760000467,2017-06-07 00:00:00
179.8643009663,98.0883006752,2017-06-08 00:00:00
185.9669988751,114.385999471,2017-06-09 00:00:00
518.6670987904,330.8656993061,2017-06-10 00:00:00
147.7907995284,89.9121996164,2017-06-11 00:00:00
68.3666003048,8.3766000271,2017-06-12 00:00:00
136.8321003765,12.5717000663,2017-06-13 00:00:00
148.1731999218,23.6052000076,2017-06-14 00:00:00
197.8517998159,14.055000037,2017-06-15 00:00:00
153.4830000848,9.4539998174,2017-06-16 00:00:00
252.1378008127,22.5630002022,2017-06-17 00:00:00
139.4927998781,10.3699998856,2017-06-18 00:00:00
127.3260003775,80.8328000158,2017-06-19 00:00:00
134.5055000633,62.1554998606,2017-06-20 00:00:00
